–Ú∫≈,‘§≤‚,’Ê µ÷µ
0,5.4045944,5.481486
1,5.0019274,5
2,5.0019274,5
3,6.901714,7.337242
4,7.509738,7.69897
5,5.0019274,5
6,5.219136,5.2676063
7,5.018361,5
8,6.144683,6.6382723
9,8.654045,9.148742
10,7.091724,7.39794
11,5.0019274,5
12,5.823605,5.7695513
13,5.0019274,5
14,5.249794,5.2839966
15,6.9114,7.60206
16,5.0019274,5
17,5.0019274,5
18,5.0086246,5
19,6.4786444,6.49485
20,5.0019274,5
21,8.126884,8.468521
22,5.0019274,5
23,5.0019274,5
24,5.0019274,5
25,5.0019274,5
26,5.0019274,5
27,5.0130234,5
28,5.0019274,5
29,5.0019274,5
30,5.0019274,5
31,5.005469,5
32,7.773296,7.6575775
33,6.189492,6.387216
34,5.0019274,5
35,5.0019274,5
36,5.004441,5
37,5.0019274,5
38,5.1711,5
39,5.1172023,5.2839966
40,6.2159123,6.19382
41,7.662265,7.823909
42,5.0019274,5
43,5.011987,5
44,5.0019274,5
45,5.9464955,5.958607
46,5.0019274,5
47,5.0019274,5
48,5.0019274,5
49,5.0019274,5
50,6.4459295,6.3279023
51,5.0019274,5
52,5.0019274,5
53,5.0019274,5
54,5.0019274,5
55,5.0019274,5
56,5.0019274,5
57,5.0140524,5
58,5.0019274,5
59,5.0019274,5
60,5.0019274,5
61,5.0019274,5
62,5.0019274,5
63,5.0229726,5
64,6.585602,6.6575775
65,5.010945,5
66,5.0019274,5
67,5.0019274,5
68,7.5438924,7.7447276
69,5.9538774,5.79588
70,5.636093,5.7695513
71,7.075068,7.1366773
72,5.0019274,5
73,5.00739,5
74,5.0019274,5
75,5.0019274,5
76,6.5201306,6.6197886
77,8.159761,8.481486
78,5.0019274,5
79,5.0019274,5
80,7.129485,7.251812
81,5.0019274,5
82,5.853013,6.5850267
83,6.1969666,6.30103
84,5.0019274,5
85,6.7367253,6.69897
86,5.0019274,5
87,5.7298594,5.7212462
88,5.105889,5.031517
89,5.949068,5.3467875
90,5.0031533,5
91,5.8668346,5.853872
92,5.8314724,5.958607
93,5.0019274,5
94,5.0019274,5
95,5.0019274,5
96,5.0019274,5
97,5.0961256,5.8860564
98,5.0019274,5
99,5.0019274,5
100,6.2730966,6.552842
101,5.0019274,5
102,5.0019274,5
103,6.185436,6.19382
104,5.0019274,5
105,5.0029798,5
106,6.191635,6.318759
107,7.507636,6.7447276
108,5.0019274,5
109,5.0019274,5
110,5.007842,5
111,5.0019274,5
112,7.3078375,7.318759
113,5.0019274,5
114,5.0228915,5
115,5.0019274,5
116,5.1460648,5.2441254
117,5.0019274,5
118,5.0019274,5
119,5.0019274,5
120,5.0019274,5
121,5.0019274,5
122,5.0019274,5
123,5.0019274,5
124,7.878637,8.148742
125,7.27765,7.167491
126,5.0019274,5
127,7.630418,8.39794
128,5.0019274,5
129,5.1908903,5.2441254
130,5.0019274,5
131,5.012894,5
132,5.0019274,5
133,5.0019274,5
134,5.00241,5
135,6.866789,6.920819
136,7.31447,7.958607
137,5.0025616,5
138,5.0019274,5
139,5.0025635,5
140,5.0023537,5
141,7.078784,7.1487417
142,5.0019274,5
143,6.66789,6.7447276
144,5.0019274,5
145,7.6863213,7.853872
146,5.0019274,5
147,6.4176655,6.7212462
148,5.008037,5.1487417
149,4.975025,5
150,5.046398,5
151,7.6473384,8.420217
152,5.0019274,5
153,5.0019274,5
154,5.0023165,5
155,5.0019274,5
156,5.456346,5.5228786
157,5.0019274,5
158,5.0019274,5
159,5.8391385,6.3279023
160,5.6741624,6.481486
161,5.0019274,5
162,5.0019274,5
163,5.002768,5
164,5.755086,6.6197886
165,7.374089,7.6197886
166,6.143341,6.2441254
167,5.0019274,5
168,7.0202937,7.2596374
169,5.0019274,5
170,5.699341,5.6777806
171,5.018138,5
172,5.0029182,5
173,5.0019274,5
174,5.0019274,5
175,5.0019274,5
176,5.0019274,5
177,5.0019274,5
178,5.0019274,5
179,5.0019274,5
180,5.0019274,5
181,5.0019274,5
182,5.0019274,5
183,5.0019274,5
184,5.0019274,5
185,7.1018753,7.3565474
186,5.896091,6.080922
187,7.258056,7.1191864
188,5.0019274,5
189,6.8715696,6.7447276
190,5.0019274,5
191,7.992938,8.091515
192,5.0019274,5
193,5.002606,5
194,5.0058956,5
195,6.1062922,6.3565474
196,6.2110696,6.251812
197,5.0019274,5
198,5.002971,5
199,5.005163,5
200,5.0019274,5
201,6.983781,7.080922
202,5.0019274,5
203,4.99339,5
204,5.0019274,5
205,6.9052835,7.036212
206,5.0019274,5
207,5.0019274,5
208,5.0019274,5
209,5.0019274,5
210,6.628996,6.8860564
211,5.0019274,5
212,6.2661066,6.39794
213,6.0105333,6.036212
214,8.670898,8.619789
215,5.0019274,5
216,6.448302,6.6777806
217,5.0019274,5
218,9.202632,9.721247
219,5.0019274,5
220,6.610746,7.221849
221,5.046623,5.004365
222,5.0082717,5
223,5.1682167,5.337242
224,5.0019274,5
225,5.0019274,5
226,5.942775,5.920819
227,5.009367,5
228,5.0019274,5
229,5.0019274,5
230,5.011814,5
231,5.0019274,5
232,5.0019274,5
233,5.9101505,6.055517
234,5.2466545,5.275724
235,5.0073195,5
236,5.0019274,5
237,5.0019274,5
238,5.0019274,5
239,5.0019274,5
240,5.0077496,5
241,5.0013814,5
242,5.047168,5.2006593
243,6.779475,6.823909
244,5.0019274,5
245,5.0029116,5
246,5.0019274,5
247,5.0019274,5
248,5.0019274,5
249,5.8796916,6.004365
250,5.0034857,5
251,5.0019274,5
252,7.2785816,7.537602
253,5.0019274,5
254,7.5437326,8.187087
255,5.9877934,6.075721
256,5.6094475,5.6777806
257,5.0019274,5
258,5.0019274,5
259,5.0019274,5
260,5.0019274,5
261,5.0019274,5
262,5.0019274,5
263,6.9695935,7.1079054
264,5.7460017,5.8860564
265,5.7967057,5.823909
266,6.646497,6.6575775
267,5.0019274,5
268,6.4149923,6.455932
269,5.0019274,5
270,5.0019274,5
271,5.162661,5.251812
272,5.0019274,5
273,5.0019274,5
274,5.0019274,5
275,5.0019274,5
276,5.0019274,5
277,5.0019274,5
278,6.116064,7.7695513
279,5.0019274,5
280,5.5587044,5.920819
281,5.0019274,5
282,5.0019274,5
283,5.030065,5
284,5.0019274,5
285,5.006398,5
286,5.434345,5.481486
287,5.244498,5.337242
288,5.0019274,5
289,5.0019274,5
290,5.0019274,5
291,5.0019274,5
292,5.0019274,5
293,5.0019274,5
294,5.0019274,5
295,5.0019274,5
296,5.0019274,5
297,6.4482,7.075721
298,5.004465,5
299,5.016723,5
300,5.0019274,5
301,6.524417,6.79588
302,5.0019274,5
303,5.0019274,5
304,5.0019274,5
305,5.0019274,5
306,5.0019274,5
307,5.0019274,5
308,5.0019274,5
309,5.0019274,5
310,5.0019274,5
311,5.0019274,5
312,5.575108,5.229148
313,5.0019274,5
314,5.0019274,5
315,5.0019274,5
316,5.0019274,5
317,5.0019274,5
318,5.025043,5
319,5.250525,5.4089355
320,5.0019274,5
321,7.6469316,7.8860564
322,5.0115585,5
323,4.99209,5
324,5.004648,5
325,6.4764104,6.7212462
326,5.0019274,5
327,5.6892138,5.823909
328,5.0019274,5
329,5.0019274,5
330,5.0019274,5
331,6.1523614,6.236572
332,7.3946223,7.468521
333,5.0019274,5
334,5.0019274,5
335,5.805127,5.79588
336,5.0073614,5
337,7.1837597,7.6382723
338,5.0019274,5
339,5.0019274,5
340,5.0019274,5
341,5.0019274,5
342,5.0019274,5
343,7.092143,8.60206
344,5.453181,5.60206
345,5.0019274,5
346,5.0019274,5
347,5.971801,6.2006593
348,5.0019274,5
349,5.0019274,5
350,5.0019274,5
351,5.0019274,5
352,5.0052156,5
353,5.0019274,5
354,5.995003,6
355,5.0019274,5
356,5.01465,5
357,8.628699,9.187087
358,5.012446,5
359,5.9449368,5.853872
360,5.829821,6.6575775
361,5.0208826,5
362,5.0019274,5
363,5.0019274,5
364,5.0019274,5
365,5.0019274,5
366,6.5219245,6.7212462
367,5.129061,5.2676063
368,5.0026855,5
369,7.407782,7.69897
370,5.0019274,5
371,5.2322235,5.251812
372,5.8046913,5.7695513
373,5.0019274,5
374,6.2632294,6.1366773
375,5.65978,6.3467875
376,5.0051584,5
377,5.0019274,5
378,5.8218904,5.853872
379,5.0019274,5
380,5.0019274,5
381,5.0019274,5
382,5.0019274,5
383,5.0019274,5
384,5.0019274,5
385,5.001971,5
386,5.05467,5
387,5.0019274,5
388,8.112956,8.309804
389,5.0796843,5.4436975
390,5.0019274,5
391,5.0049324,5
392,5.0019274,5
393,6.117394,6.180456
394,5.3109136,5.455932
395,5.7430468,5.6382723
396,5.0019274,5
397,5.0019274,5
398,5.003922,5
399,5.0043087,5
400,5.0019274,5
401,5.004087,5
402,5.0019274,5
403,7.078784,7.5850267
404,5.0019274,5
405,5.0019274,5
406,5.0019274,5
407,5.1499047,5.39794
408,5.004747,5
409,5.0019274,5
410,5.0019274,5
411,5.0019274,5
412,5.851721,6.0409584
413,5.102002,5
414,7.8471947,9.49485
415,5.0019274,5
416,5.30646,5.3467875
417,9.103059,9
418,5.418678,5.60206
419,5.952741,6.0222764
420,5.0616245,5
421,6.659579,6.823909
422,6.182738,6.5850267
423,5.0019274,5
424,7.400782,7.7695513
425,5.0019274,5
426,5.0019274,5
427,5.0019274,5
428,5.0019274,5
429,5.32603,5.4436975
430,5.0019274,5
431,5.473466,5.5850267
432,5.0019274,5
433,5.7168703,5.853872
434,5.0019274,5
435,5.011723,5
436,5.0585914,5.1307683
437,5.0019274,5
438,5.821584,6.086186
439,5.0019274,5
440,5.0019274,5
441,5.0019274,5
442,5.0019274,5
443,5.0019274,5
444,5.0019274,5
445,5.494423,5.7447276
446,9.159997,10.408936
447,5.014318,5
448,5.0019274,5
449,7.210372,7.376751
450,5.0019274,5
451,5.0019274,5
452,5.0019274,5
453,5.0019274,5
454,5.0019274,5
455,5.0019274,5
456,5.0034723,5
457,5.0019274,5
458,5.224725,5.387216
459,5.0019274,5
460,5.0019274,5
461,5.0019274,5
462,5.0019274,5
463,5.880315,5.6197886
464,5.0019274,5.05061
465,5.0019274,5
466,5.349889,5.455932
467,5.00214,5
468,5.0052123,5
469,6.184051,6.3279023
470,5.0019274,5
471,7.233722,8.124939
472,5.0019274,5
473,5.0019274,5
474,5.303304,5.275724
475,5.0019274,5
476,5.0019274,5
477,5.0019274,5
478,5.0019274,5
479,5.0019274,5
480,6.8337307,6.823909
481,5.0019274,5
482,5.004409,5
483,5.0019274,5
484,5.0019274,5
485,5.4387097,5.6197886
486,6.3793783,6.468521
487,5.401338,5.49485
488,5.0019274,5
489,5.0058126,5
490,6.3871255,6.5686364
491,5.475649,5.6575775
492,5.0019274,5
493,5.9366293,5.8860564
494,5.0019274,5
495,5.0019274,5
496,5.0019274,5
497,6.825827,7.09691
498,7.8687224,8.207608
499,5.002528,5
500,6.8811436,6.920819
501,5.2898293,5.4089355
502,5.0019274,5
503,5.0019274,5
504,5.0019274,5
505,5.0019274,5
506,5.0019274,5
507,5.0019274,5
508,5.0019274,5
509,5.0019274,5
510,5.0019274,5
511,5.0019274,5
512,5.0019274,5
513,5.2114177,5.337242
514,5.0679975,5
515,7.2238574,7.387216
516,5.0019274,5
517,5.0019274,5
518,5.0019274,5
519,6.3491716,6.552842
520,5.0019274,5
521,5.0019274,5
522,6.961875,7.031517
523,5.0019274,5
524,6.60278,6.60206
525,5.0019274,5
526,5.0065117,5
527,5.0019274,5
528,5.0029645,5
529,5.0019274,5
